Salary,Company,Block,Salary1,Salary2
6000-10000,神州控股,长宁区,6000,10000
10000-20000,链家上海研发中心,静安区,10000,20000
10000-20000,萨摩耶金服,浦东新区,10000,20000
12000-18000,华院数据,杨浦区,12000,18000
8000-15000,Gridsum 国双,南京西路,8000,15000
6000-8000,微盟,吴淞,6000,8000
8000-12000,上海拿米金服,田林,8000,12000
7000-10000,天天果园,浦东新区,7000,10000
10000-20000,晶赞科技Zamplus,汶水路,10000,20000
5000-10000,Learnta Inc.,同乐坊,5000,10000
4000-8000,我厨（上海）科技有限公司,源深体育中心,4000,8000
8000-15000,买单侠,浦东新区,8000,15000
10000-20000,方付通,世纪公园,10000,20000
15000-30000,爱可生,漕宝路,15000,30000
6000-10000,微医集团,漕宝路,6000,10000
15000-25000,华院数据,杨浦区,15000,25000
20000-40000,萨摩耶金服,浦东新区,20000,40000
10000-17000,链家上海研发中心,静安区,10000,17000
15000-25000,ezbuy,上南地区,15000,25000
12000-20000,链家（上海）,吴江路,12000,20000
8000-15000,彪洋科技,上海影城,8000,15000
8000-13000,上海第一财经新媒体,上海电视台,8000,13000
10000-20000,齐家网,丰庄,10000,20000
8000-13000,musical.ly,南外滩,8000,13000
10000-20000,现金巴士,上海,10000,20000
8000-15000,路路由,浦东新区,8000,15000
15000-30000,名片全能王,五角场,15000,30000
10000-20000,买单侠,东方路,10000,20000
8000-15000,坤普金融,浦东新区,8000,15000
5000-7000,米么金服,金杨新村,5000,7000
10000-19000,链家（上海）,吴江路,10000,19000
10000-20000,买单侠,浦东新区,10000,20000
8000-15000,平安健康互联网,龙华,8000,15000
8000-12000,SummerDreamLab,外滩,8000,12000
4000-6000,财安金融,大柏树,4000,6000
10000-20000,蘑菇租房,江宁路,10000,20000
10000-18000,2345.com,张江,10000,18000
15000-25000,FlowerPlus,嘉定区,15000,25000
8000-15000,ZTO-express,上海,8000,15000
15000-25000,链家上海研发中心,吴江路,15000,25000
6000-10000,兔博士,张江,6000,10000
10000-20000,返利网,龙华,10000,20000
3000-5000,VML SOCIAL,长寿路,3000,5000
12000-20000,Teambition,浦东新区,12000,20000
8000-12000,博彦科技,北新泾,8000,12000
10000-20000,买单侠,东方路,10000,20000
10000-20000,返利网,龙华,10000,20000
15000-25000,英语流利说,杨浦区,15000,25000
14000-23000,饿了么,普陀区,14000,23000
16000-24000,帜讯信息,张江,16000,24000
20000-35000,唯品会,西藏北路,20000,35000
8000-15000,永辉超市股份有限公司,田林,8000,15000
10000-15000,vipabc 英语,陆家嘴,10000,15000
15000-25000,恺英网络,闵行区,15000,25000
10000-20000,新达达,八佰伴,10000,20000
10000-20000,九曳供应链,嘉定城区,10000,20000
8000-15000,上海美华系统有限公司,仙霞新村,8000,15000
20000-25000,个推,静安区,20000,25000
14000-28000,齐家网,丰庄,14000,28000
13000-19000,翼集分,长寿路,13000,19000
10000-12000,买单侠,东方路,10000,12000
12000-18000,前隆金融（手机贷）,外滩,12000,18000
25000-40000,上海你我贷互联网金融信息服务,东方路,25000,40000
12000-24000,永辉超市股份有限公司,田林,12000,24000
15000-20000,融金汇银（银天下集团）,浦东新区,15000,20000
15000-30000,返利网,龙华,15000,30000
10000-20000,好买车,汶水路,10000,20000
20000-30000,还呗-智能信贷领先者,张江,20000,30000
15000-20000,DayDayCoo000,徐家汇,15000,20000
10000-20000,平安普惠,龙华,10000,20000
10000-20000,饿了么,金沙江路,10000,20000
10000-15000,通华资产,世纪公园,10000,15000
16000-24000,帜讯信息,张江,16000,24000
18000-25000,易果生鲜,北新泾,18000,25000
10000-15000,微医集团,漕宝路,10000,15000
15000-25000,前隆金融（手机贷）,外滩,15000,25000
10000-16000,上海你我贷互联网金融信息服务,东方路,10000,16000
15000-30000,返利网,龙华,15000,30000
15000-30000,巨人网络,松江区,15000,30000
4000-6000,ZesMob,万源城,4000,6000
15000-25000,平安付,龙华,15000,25000
15000-20000,融金汇银（银天下集团）,南码头,15000,20000
10000-20000,麦子金服,肇嘉浜路,10000,20000
10000-15000,饿了么,长征,10000,15000
15000-30000,陆金所,陆家嘴,15000,30000
25000-30000,高升控股,江苏路地铁,25000,30000
10000-15000,捞月狗,田林,10000,15000
10000-18000,人人网,黄浦区,10000,18000
15000-30000,买单侠,塘桥,15000,30000
15000-25000,个推,静安区,15000,25000
15000-30000,返利网,龙华,15000,30000
20000-30000,饿了么,长征,20000,30000
15000-25000,悟空找房,交通大学,15000,25000
10000-20000,美味不用等,张江,10000,20000
15000-25000,众安保险,外滩,15000,25000
10000-15000,数集金融,浦东新区,10000,15000
10000-18000,携程,华漕,10000,18000
12000-20000,平安好房,龙华,12000,20000
15000-25000,Gridsum 国双,南京西路,15000,25000
8000-15000,哔哩哔哩,东外滩,8000,15000
15000-25000,前隆金融（手机贷）,外滩,15000,25000
18000-36000,英语流利说,杨浦区,18000,36000
15000-30000,学霸君,五角场,15000,30000
8000-12000,驹旗网络,徐汇区,8000,12000
13000-25000,2345.com,上海,13000,25000
15000-25000,返利网,上海,15000,25000
10000-20000,饿了么,长征,10000,20000
15000-25000,Gridsum 国双,南京西路,15000,25000
15000-30000,厚本金融,打浦桥,15000,30000
8000-13000,赤耳科技,北新泾,8000,13000
8000-16000,今日头条,徐汇区,8000,16000
15000-30000,沪江,张江,15000,30000
10000-20000,通联数据,东外滩,10000,20000
25000-50000,美团点评,中山公园,25000,50000
15000-25000,新达达,上海,15000,25000
15000-30000,名片全能王,五角场,15000,30000
15000-30000,恒大金服,淮海公园,15000,30000
12000-20000,Teambition,浦东新区,12000,20000
15000-25000,百融金服,梅园,15000,25000
5000-10000,上海荣恋,外滩,5000,10000
15000-30000,返利网,龙华,15000,30000
15000-25000,饿了么,长征,15000,25000
8000-15000,厚本金融,上海,8000,15000
10000-15000,任我花,徐汇区,10000,15000
15000-20000,易果生鲜,北新泾,15000,20000
8000-13000,斗鱼直播,杨浦区,8000,13000
15000-25000,维信金融科技集团,外滩,15000,25000
15000-25000,浅橙科技,江湾,15000,25000
20000-40000,国泰君安证券股份有限公司,陆家嘴,20000,40000
15000-25000,nonda 能塔智能,斜土路,15000,25000
6000-11000,摩墅狮,徐汇区,6000,11000
13000-20000,北京和讯在线信息咨询服务有限公司（金融创新部）,斜土路,13000,20000
10000-20000,灏月传媒,嘉定区,10000,20000
8000-15000,眸事网,和平公园,8000,15000
15000-25000,都纳信息科技,天目西路,15000,25000
10000-15000,饿了么,长征,10000,15000
15000-25000,爱回收,五角场,15000,25000
10000-20000,触宝科技,漕宝路,10000,20000
10000-20000,HARB,漕河泾,10000,20000
15000-25000,网贷之家,五角场,15000,25000
10000-15000,头牌科技,曹杨,10000,15000
30000-50000,上海你我贷互联网金融信息服务,东方路,30000,50000
15000-20000,PPTV聚力,张江,15000,20000
20000-30000,平安银行,斜土路,20000,30000
5000-8000,金毛鼠科技,浦东新区,5000,8000
10000-20000,卓领通讯,洋泾,10000,20000
8000-10000,21PIN000,宝山区,8000,10000
8000-10000,珀乐,大场,8000,10000
10000-15000,麦子金服,肇嘉浜路,10000,15000
20000-35000,西域网,张江,20000,35000
13000-20000,饿了么,长征,13000,20000
15000-30000,分期乐,田林,15000,30000
20000-40000,昊合数据,上海南站,20000,40000
10000-18000,易果生鲜,北新泾,10000,18000
15000-20000,百融金服,八佰伴,15000,20000
20000-40000,唯品会,西藏北路,20000,40000
15000-25000,红星美凯龙互联网集团,梅川路,15000,25000
15000-25000,携程,北新泾,15000,25000
8000-15000,仁和智本,上海电视台,8000,15000
7000-12000,arvato China,汶水路,7000,12000
10000-15000,Discover高沃,外滩,10000,15000
8000-9000,百丽国际体育事业总部,交通大学,8000,9000
12000-24000,挖财,世纪公园,12000,24000
8000-15000,易钧信息,东方路,8000,15000
15000-25000,麦子金服,肇嘉浜路,15000,25000
15000-28000,易果生鲜,上海,15000,28000
12000-24000,饿了么,长征,12000,24000
20000-40000,唯品会,西藏北路,20000,40000
8000-13000,2345.com,张江,8000,13000
5000-7000,晨光文具,奉贤区,5000,7000
6000-8000,麦子金服,肇嘉浜路,6000,8000
5000-8000,东方财富,田林,5000,8000
12000-24000,平安科技,东外滩,12000,24000
8000-12000,水象金融,闵行区,8000,12000
10000-20000,时年信息,上海,10000,20000
15000-25000,奇虎360金融,洋泾,15000,25000
15000-20000,忆往昔科技,漕河泾,15000,20000
11000-22000,京东,北新泾,11000,22000
2000-3000,挖财,世纪公园,2000,3000
10000-15000,吉富投资,长征,10000,15000
10000-20000,美团点评,长宁区,10000,20000
1000-2000,光大云付,世纪公园,1000,2000
12000-18000,上海惠保数据科技有限公司,洋泾,12000,18000
15000-30000,小红书,复兴公园,15000,30000
5000-6000,Colour Data,黄浦区,5000,6000
10000-20000,上海国熙信息科技,四平路,10000,20000
15000-30000,携程,北新泾,15000,30000
10000-20000,旗计智能,上海,10000,20000
1000-2000,派兰数据,交通大学,1000,2000
10000-15000,百度上海分公司,嘉定区,10000,15000
10000-20000,还呗-智能信贷领先者,浦东新区,10000,20000
10000-15000,般胜投资,中山,10000,15000
20000-25000,麦子金服,肇嘉浜路,20000,25000
15000-30000,CAAD中估联行数据中心,长宁区,15000,30000
4000-5000,拓端数据,宝山区,4000,5000
6000-12000,东方财富,龙华,6000,12000
6000-9000,中商数据,打浦桥,6000,9000
25000-45000,唯品会,西藏北路,25000,45000
12000-18000,上海惠保数据科技有限公司,陆家嘴,12000,18000
20000-30000,易创云服,长阳路,20000,30000
10000-15000,汇纳科技,东方路,10000,15000
10000-20000,上海风述信息科技有限公司,徐汇区,10000,20000
15000-20000,乐车邦,上海,15000,20000
12000-21000,携程,北新泾,12000,21000
8000-15000,上海闪派信息技术有限公司,三林,8000,15000
10000-20000,还呗-智能信贷领先者,张江,10000,20000
15000-25000,阿基米德fm,古北,15000,25000
15000-30000,百度,张江,15000,30000
10000-20000,appcoachS,中山公园,10000,20000
15000-30000,太平电商,上海,15000,30000
8000-16000,携程,北新泾,8000,16000
15000-25000,nonda 能塔智能,斜土路,15000,25000
15000-30000,唯品会,西藏北路,15000,30000
15000-30000,ZRobot,黄浦区,15000,30000
10000-18000,全程网络,周家嘴路,10000,18000
10000-20000,小赢理财,黄浦区,10000,20000
4000-6000,时光数据工作坊,长征,4000,6000
15000-25000,Gridsum 国双,南京西路,15000,25000
10000-15000,瑞易信息技术RSi,徐家汇,10000,15000
10000-20000,网舟联合科技（北京）有限公司,洋泾,10000,20000
6000-12000,国槐金融,浦东新区,6000,12000
15000-25000,simplyBrand,外滩,15000,25000
15000-30000,享骑出行,闵行区,15000,30000
10000-15000,上海天正,徐汇区,10000,15000
8000-12000,析鲸信息,四平路,8000,12000
20000-40000,唯品会,西藏北路,20000,40000
10000-20000,二二一数据,张江,10000,20000
15000-30000,Datatist,徐汇区,15000,30000
8000-12000,2345.com,张江,8000,12000
10000-18000,链家上海研发中心,静安区,10000,18000
10000-20000,Alading Ban000,田林,10000,20000
10000-20000,美团点评,长宁区,10000,20000
8000-16000,星环科技,田林,8000,16000
8000-15000,麦博游戏 MYBO,长征,8000,15000
8000-15000,泰为,长宁区,8000,15000
5000-10000,滚球信息,上海,5000,10000
10000-20000,柑客科技,金山区,10000,20000
10000-15000,华院数据,杨浦区,10000,15000
10000-20000,Gridsum 国双,南京西路,10000,20000
15000-25000,上海软科教育,老闵行,15000,25000
10000-20000,二二一数据,张江,10000,20000
15000-30000,泰为,长宁区,15000,30000
5000-7000,帜讯信息,张江,5000,7000
10000-18000,链家（上海）,吴江路,10000,18000
18000-35000,萨摩耶金服,北蔡,18000,35000
5000-9000,笨鸟电子商务,三林,5000,9000
20000-25000,陕西西普数据,张江,20000,25000
6000-10000,游友移动,世纪公园,6000,10000
16000-22000,新蛋信息技术（中国）有限公司,静安区,16000,22000
5000-9000,YHOUSE,打浦桥,5000,9000
10000-17000,金恪集团,金桥,10000,17000
25000-30000,德邦,徐泾,25000,30000
15000-25000,欧电云,张江,15000,25000
20000-35000,触宝科技,上海,20000,35000
15000-30000,优拜单车,长征,15000,30000
8000-15000,泰为,长宁区,8000,15000
20000-30000,欧电云,张江,20000,30000
8000-15000,途虎养车网,梅陇,8000,15000
10000-18000,同程旅游,花木,10000,18000
12000-20000,NSOC大数据安全智能,张江,12000,20000
15000-30000,优拜单车,普陀区,15000,30000
7000-12000,维信金融科技集团,长宁区,7000,12000
15000-30000,美团点评,中山公园,15000,30000
10000-18000,上海第一财经新媒体,上海电视台,10000,18000
8000-15000,鼎捷软件,静安区,8000,15000
15000-25000,链家（上海）,吴江路,15000,25000
15000-30000,海知智能,张江,15000,30000
15000-25000,透云科技,新闸路,15000,25000
20000-40000,唯品会,西藏北路,20000,40000
10000-20000,光源资本,陆家嘴,10000,20000
10000-20000,春秋航空股份有限公司,虹桥机场,10000,20000
15000-30000,九章云极科技,场中路,15000,30000
20000-40000,永辉超市股份有限公司,田林,20000,40000
8000-14000,萨摩耶金服,浦东新区,8000,14000
15000-30000,有鱼金融科技,漕河泾,15000,30000
8000-15000,维信金融科技集团,外滩,8000,15000
20000-30000,平安银行,徐家汇,20000,30000
15000-25000,上海你我贷互联网金融信息服务,东方路,15000,25000
8000-10000,麦子金服,肇嘉浜路,8000,10000
15000-30000,Gridsum 国双,南京西路,15000,30000
40000-60000,华云数据,五角场,40000,60000
10000-20000,喔噻科技,金沙江路,10000,20000
4000-6000,和讯网,斜土路,4000,6000
15000-25000,饿了么,长征,15000,25000
7000-10000,微医集团,漕宝路,7000,10000
8000-15000,DATATOM,虹梅路,8000,15000
10000-14000,意视科技,漕河泾,10000,14000
15000-30000,Hypers,上海,15000,30000
10000-20000,金丘股份,东外滩,10000,20000
20000-40000,Gridsum 国双,南京西路,20000,40000
4000-6000,RCC上海分公司,人民广场,4000,6000
15000-30000,触宝科技,上海,15000,30000
10000-20000,数库科技,浦江,10000,20000
15000-29000,传音控股,浦东新区,15000,29000
15000-25000,小赢理财,黄浦区,15000,25000
15000-25000,有鱼金融科技,漕宝路,15000,25000
20000-30000,融金汇银（银天下集团）,南码头,20000,30000
15000-25000,帜讯信息,张江,15000,25000
4000-5000,天会智数,肇嘉浜路,4000,5000
15000-30000,游族网络,田林,15000,30000
10000-14000,意视科技,徐汇区,10000,14000
14000-26000,有鱼金融科技,漕河泾,14000,26000
25000-40000,上海拿米金服,田林,25000,40000
10000-15000,青桐资本,黄浦区,10000,15000
5000-10000,东方头条,张江,5000,10000
18000-28000,上海你我贷互联网金融信息服务,东方路,18000,28000
20000-30000,融金汇银（银天下集团）,浦东新区,20000,30000
6000-12000,东方国信,虹梅路,6000,12000
18000-36000,饿了么,长征,18000,36000
15000-30000,Stri000ingly,五角场,15000,30000
10000-15000,FlowerPlus,嘉定区,10000,15000
18000-30000,二二一数据,张江,18000,30000
10000-20000,返利网,龙华,10000,20000
17000以上,星环科技,田林,17000,
15000-25000,牛娃互联网金融,黄浦区,15000,25000
10000-16000,博彦科技,浦东新区,10000,16000
20000-35000,上海你我贷互联网金融信息服务,东方路,20000,35000
25000-40000,帜讯信息,张江,25000,40000
10000-20000,平安健康互联网,龙华,10000,20000
20000-40000,陆金所,人民广场,20000,40000
8000-16000,Hypers,四川北路,8000,16000
6000-12000,上海卫诚,淞南,6000,12000
15000-25000,浅橙科技,江湾,15000,25000
20000-35000,易居中国-创新研发中心,闸北公园,20000,35000
4000-5000,MarcPoint,徐汇区,4000,5000
10000-14000,上海华腾软件系统有限公司,外滩,10000,14000
7000-14000,通联数据,四川北路,7000,14000
8000-15000,维信金融科技集团,北京西路,8000,15000
15000-30000,七牛云,张江,15000,30000
20000-40000,1号店,张江,20000,40000
15000-25000,上海你我贷互联网金融信息服务,东方路,15000,25000
18000-30000,Alading Ban000,虹梅路,18000,30000
20000-35000,饿了么,长征,20000,35000
20000-35000,迈外迪,龙华,20000,35000
10000-20000,现金侠,北新泾,10000,20000
10000-20000,返利网,龙华,10000,20000
12000-20000,浅橙科技,江湾,12000,20000
18000-30000,千寻位置,打浦桥,18000,30000
15000-25000,传音控股,张江,15000,25000
13000-26000,上海波导,真如,13000,26000
3000-4000,天会皓闻,岳阳,3000,4000
9000-12000,百联大宗电商,黄浦区,9000,12000
15000-25000,Datatist,徐汇区,15000,25000
10000-20000,壤歌,上海师大,10000,20000
6000-12000,成括信息科技,张江,6000,12000
25000-35000,饿了么,长征,25000,35000
15000-30000,挖财,高新文教区,15000,30000
20000-30000,思特奇Si-tech,上海,20000,30000
15000-25000,返利网,上海,15000,25000
18000-35000,中软国际,徐汇区,18000,35000
20000-35000,再惠,交通大学,20000,35000
3000-5000,YOHO!,静安区,3000,5000
15000-25000,游族网络,田林,15000,25000
9000-18000,鼎捷软件,共和新路,9000,18000
15000-30000,都纳信息科技,东明路,15000,30000
10000-15000,vipabc 英语,浦东新区,10000,15000
15000-25000,喔噻科技,金沙江路,15000,25000
8000-15000,携程,上海,8000,15000
20000-30000,上海管易云计算软件有限公司,张江,20000,30000
15000-25000,微鲸科技,张江,15000,25000
12000-20000,游族网络,漕河泾,12000,20000
15000-30000,饿了么,长征,15000,30000
15000-30000,返利网,龙华,15000,30000
20000-35000,再惠,长宁区,20000,35000
16000-25000,微盟,吴淞,16000,25000
6000-10000,乐其网络,中山公园,6000,10000
12000-20000,Video++,上海,12000,20000
10000-15000,永辉超市股份有限公司,田林,10000,15000
15000-27000,意真金融,张江,15000,27000
13000-25000,九曳供应链,嘉定城区,13000,25000
6000-12000,NEIWAI内外内衣,江苏路地铁,6000,12000
10000-20000,CreditX,长宁区,10000,20000
10000-20000,高升控股,江苏路地铁,10000,20000
4000-6000,麦子金服,肇嘉浜路,4000,6000
20000-40000,悟空找房,交通大学,20000,40000
15000-25000,游族网络,徐汇区,15000,25000
25000-30000,再惠,交通大学,25000,30000
15000-30000,饿了么,长征,15000,30000
10000-12000,中地控股,上海,10000,12000
12000-20000,新智认知,杨浦区,12000,20000
20000-35000,纽熙,徐汇区,20000,35000
10000-15000,去哪儿网,华漕,10000,15000
10000-20000,好买基金网（联想腾讯注资企业）,鲁迅公园,10000,20000
15000-25000,众安保险,外滩,15000,25000
20000-30000,触宝科技,漕宝路,20000,30000
25000-35000,携程,北新泾,25000,35000
15000-25000,麦子金服,肇嘉浜路,15000,25000
15000-25000,猎豹移动,张江,15000,25000
10000-20000,爱回收,五角场,10000,20000
15000-25000,易果生鲜,北新泾,15000,25000
20000-35000,Hypers,上海,20000,35000
8000-15000,UCloud,杨浦区,8000,15000
12000-20000,炫体,四川北路,12000,20000
10000-15000,数云,龙华,10000,15000
7000-10000,豪康金融,古北,7000,10000
8000-10000,天天果园,张江,8000,10000
20000-30000,Altran,长宁区,20000,30000
10000-20000,算话征信,长宁区,10000,20000
10000以上,陕西西普数据,浦东新区,10000,
15000-25000,上海你我贷互联网金融信息服务,世纪公园,15000,25000
12000-18000,Alading Ban000,虹梅路,12000,18000
15000-25000,平安付,龙华,15000,25000
15000-30000,平安医疗,龙华,15000,30000
15000-30000,新达达,八佰伴,15000,30000
14000-25000,都纳信息科技,长宁区,14000,25000
15000-25000,UCloud,长阳路,15000,25000
15000-30000,陆金所,陆家嘴,15000,30000
12000-20000,同振信息,东方路,12000,20000
18000-24000,亚信,三林,18000,24000
10000-20000,携程,北新泾,10000,20000
20000-40000,Dupont,莘庄,20000,40000
20000-40000,华通银行,金桥,20000,40000
13000-20000,上海仟才,张江,13000,20000
30000-45000,互动科技,江苏路地铁,30000,45000
15000-30000,美团点评,中山公园,15000,30000
20000-40000,Datatist,徐汇区,20000,40000
20000-25000,快钱,塘桥,20000,25000
20000-30000,悟空找房,交通大学,20000,30000
15000-23000,泰为,古北,15000,23000
7000-10000,瑞易信息技术RSi,徐家汇,7000,10000
20000-40000,华通银行,金桥,20000,40000
20000-30000,悟空找房,交通大学,20000,30000
20000-35000,东方财富,龙华,20000,35000
15000-25000,去哪儿网,华漕,15000,25000
15000-30000,前隆金融（手机贷）,外滩,15000,30000
8000-16000,讯联数据,张江,8000,16000
8000-13000,微盟,宝山区,8000,13000
25000-50000,米么金服,金杨新村,25000,50000
8000-15000,上海天正,漕宝路,8000,15000
18000-20000,快钱,塘桥,18000,20000
15000-30000,平安健康互联网,龙华,15000,30000
6000-12000,OFusion,龙华,6000,12000
8000-10000,青桐资本,黄浦区,8000,10000
20000-30000,平安银行,斜土路,20000,30000
20000-25000,融金汇银（银天下集团）,南码头,20000,25000
15000-30000,PPTV聚力,张江,15000,30000
6000-10000,Dict.cn海词正版词典专家,张江,6000,10000
15000-30000,学霸君,五角场,15000,30000
10000-20000,微鲸科技,张江,10000,20000
8000-16000,烯牛数据,徐家汇,8000,16000
10000-15000,贷后邦,四川北路,10000,15000
10000-20000,态格,五角场,10000,20000
25000-35000,聚财猫,东方路,25000,35000
8000-15000,二更,中山公园,8000,15000
25000-40000,众安保险,外滩,25000,40000
40000-60000,华云数据,五角场,40000,60000
5000-10000,东方头条,张江,5000,10000
8000-10000,上海第一财经新媒体,上海电视台,8000,10000
12000-15000,蓝鸽集团,七浦路,12000,15000
3000-6000,musical.ly,南外滩,3000,6000
